Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
291.57,-10.16626,-0.69784,-3.43847,-8.87722,26.2951,47.78025,-11.6157036,24.0119,57.94651,-18.34636349,16.8841,68.11277,-27.69620163,2.2832,7.1278,-27.31552829,,10.1663
275,-10.13893,-0.6937,-3.68776,-8.69048,31.6876,49.75432,-9.480968306,29.3994,59.89325,-16.00241911,22.3382,70.03218,-25.02862239,2.2881,7.0612,-24.71153813,,10.1389
233.93,-10.17565,-0.68417,-4.41968,-8.26014,45.5057,55.72066,-4.958920142,43.21,65.89631,-11.01321979,36.2119,76.07196,-19.35033073,2.2957,6.9981,-19.09585097,,10.1757
233.254,-10.17743,-0.68402,-4.43308,-8.25351,45.7408,55.83163,-4.892129892,43.4452,66.00906,-10.93917289,36.4469,76.18649,-19.26612936,2.2956,6.9984,-19.01178929,,10.1774
195.326,-10.33736,-0.67632,-5.25813,-7.91184,59.4722,62.76141,-1.475206819,57.1896,73.09877,-7.135244048,50.1127,83.43613,-14.94551919,2.2826,7.0769,-14.66141696,,10.3374
162.5,-10.57849,-0.6708,-6.09875,-7.67006,72.3882,69.97481,1.006558892,70.1276,80.5533,-4.348274021,62.882,91.13179,-11.78221395,2.2606,7.2457,-11.39012272,,10.5785
99.134,-11.37652,-0.66395,-8.1392,-7.35753,100.9641,87.88933,4.659962179,98.7596,99.26585,-0.1804319199,90.8817,110.64237,-7.042875311,2.2045,7.8779,-5.720350584,,11.3765
91.07,-11.52007,-0.66397,-8.45717,-7.32643,105.0261,90.72036,4.988248495,102.8282,102.24043,0.2049487002,94.8354,113.7605,-6.59896668,2.1979,7.9928,-4.98480463,,11.5201
50,-12.40484,-0.6643,,-7.26458,127.5464,14.55058,34.95751083,125.3667,26.95542,30.44549246,116.6379,39.36026,23.90737938,2.1798,8.7287,28.01782811,,12.4048
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 11) -High C and High H,,,,Phenylalanine+,,,Phenylalanine,,,Phenylalanine,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,
